,School Name,City,2022 Student Enrollments,National Rank,AZ Rank,Racial%-White,Racial%-Black,Racial%-Native,Racial%-Hispanic,Racial%-Asian,Racial%-Other,AP Classes?,Dual Enrollment?,Offers Sports?
97,Horizon High School,SCOTTSDALE,2242.0,1012.0,36.0,77.0,2.0,1.0,12.0,4.0,4.0,1,1,1
98,The Aces-Tempe,TEMPE,125.0,3704.0,31.0,20.0,8.0,4.0,16.0,4.0,48.0,0,0,0
99,Basis Chandler,CHANDLER,717.0,30.0,6.0,22.0,8.0,1.0,3.0,71.0,2.0,1,1,1
100,"Great Hearts Academies - Scottsdale
",SCOTTSDALE,886.0,6722.0,139.0,77.0,1.0,0.0,8.0,9.0,4.0,1,1,1
101,Thunderbird High School,PHOENIX,1531.0,3218.0,101.0,51.0,7.0,3.0,36.0,3.0,1.0,1,1,1
102,Trevor Browne High School,PHOENIX,3041.0,248.0,13.0,3.0,4.0,1.0,91.0,1.0,1.0,1,1,1
103,Tumbleweed Transitional Learning Center,PHOENIX,61.0,22127.0,462.0,2.0,11.0,0.0,87.0,0.0,0.0,0,0,0
104,Valley Lutheran High School,PHOENIX,164.0,3283.0,27.0,54.0,9.0,4.0,16.0,11.0,5.0,1,1,1
105,Victory High School - Campus,PHOENIX,22.0,24174.0,514.0,0.0,9.0,0.0,82.0,9.0,0.0,1,1,1
106,Phoenix Christian Preparatory School,PHOENIX,435.0,1439.0,15.0,30.0,31.0,0.0,33.0,6.0,0.0,1,1,1
107,Phoenix College Preparatory School,PHOENIX,212.0,5864.0,51.0,12.0,10.0,2.0,76.0,0.0,1.0,1,1,1
108,Phoenix Collegiate Academy Charter School,PHOENIX,392.0,9551.0,309.0,2.0,8.0,1.0,89.0,0.0,1.0,1,1,1
109,Soronan Desert School,MESA,37.0,23294.0,490.0,84.0,3.0,3.0,11.0,0.0,0.0,1,0,1
110,Gateway Early College High School,PHOENIX,309.0,8646.0,155.0,1.6,13.6,6.0,82.8,0.3,0.3,1,1,1
111,Franklin Police and Fire High School,PHOENIX,287.0,4136.0,65.0,3.1,0.7,1.7,93.4,1.0,0.0,1,1,0
112,Great Hearts Academies - Teleos Prep,PHOENIX,250.0,6297.0,107.0,54.0,5.6,0.7,25.1,7.1,6.7,0,0,0
113,Mountain Ridge High School,GLENDALE,2685.0,2046.0,28.0,69.0,2.0,1.0,13.0,10.0,5.0,1,1,1
114,Raymond S. Kellis,GLENDALE,1802.0,7392.0,126.0,24.0,8.0,1.0,57.0,5.0,5.0,1,1,1
115,Sandra Day O'Connor High School,GLENDALE,2534.0,2622.0,41.0,74.0,2.0,1.0,14.0,5.0,4.0,1,1,1
