Sr.No.,School Name,City,2022 Student Enrollments,National Rank,AZ Rank,Racial%-White,Racial%-Black,Racial%-Native,Racial%-Hispanic,Racial%-Asian,Racial%-Other,AP Classes?,Dual Enrollment?,Offers Sports?
42,West Phoenix High School,PHOENIX,0.018325131036690274,0.5089090598872783,1.0,0.022727272727272728,0.14285714285714285,0.058823529411764705,0.9456521739130435,0.0,0.020833333333333332,1,1,1
43,Notre Dame Preparatory,SCOTTSDALE,0.03564998199495859,0.014797931179086593,0.0018808777429467085,1.0,0.02857142857142857,0.0,0.0,0.04225352112676056,0.0,1,1,1
44,Mountain Pointe High School,PHOENIX,0.10506941943744248,0.020796935923513272,0.012539184952978058,0.39772727272727276,0.6285714285714286,0.1764705882352941,0.29347826086956524,0.04225352112676056,0.020833333333333332,1,1,1
45,Pvonline,PHOENIX,0.016284559676709477,0.5099019986035972,0.2827586206896552,0.5681818181818182,0.20685714285714285,0.08470588235294117,0.3139130434782609,0.05098591549295775,0.120625,1,1,0
46,Mesa High School,MESA,0.13895890849437842,0.329228524680071,0.0865203761755486,0.32954545454545453,0.11428571428571428,0.11764705882352941,0.6413043478260869,0.014084507042253521,0.041666666666666664,1,1,1
47,Mountain View High School,MESA,0.1334773736646261,0.1568709125057156,0.062068965517241385,0.75,0.08571428571428572,0.23529411764705882,0.22826086956521738,0.028169014084507043,0.020833333333333332,1,1,1
48,Tolleson Union High School,TOLLESON,0.08190293282118992,0.4087049944320962,0.08025078369905957,0.046590909090909086,0.2714285714285714,0.058823529411764705,0.8630434782608696,0.015492957746478875,0.03125,1,0,1
49,University High School,TOLLESON,0.015924458848477572,0.0009795340436485932,0.0025078369905956114,0.11477272727272728,0.26857142857142857,0.011764705882352941,0.6576086956521738,0.19859154929577466,0.05208333333333333,1,1,1
50,West-Mec- Sierra Linda High School,TOLLESON,0.07434081542831993,0.5484611187539811,0.10094043887147336,0.0375,0.22571428571428573,0.052941176470588235,0.892391304347826,0.01267605633802817,0.027083333333333334,1,0,1
51,Betty Fairfax High School ,LAVEEN,0.07362061377185611,0.39277660252448054,0.10344827586206898,0.10227272727272728,0.7714285714285714,0.23529411764705882,0.5434782608695652,0.04225352112676056,0.08333333333333333,1,1,1
52,Cesar Chavez High School,LAVEEN,0.10715000200056014,0.342757314689916,0.08965517241379312,0.03409090909090909,0.42857142857142855,0.23529411764705882,0.7717391304347826,0.014084507042253521,0.041666666666666664,1,1,1
53,Liberty High School,PEORIA,0.08410354899371823,0.24052599935558278,0.024451410658307214,0.8863636363636364,0.11428571428571428,0.058823529411764705,0.09782608695652173,0.028169014084507043,0.0625,1,1,1
54,Independence High School,GLENDALE,0.08374344816548633,0.14681740800298676,0.03636363636363636,0.6818181818181819,0.42857142857142855,0.058823529411764705,0.16304347826086954,0.056338028169014086,0.041666666666666664,1,1,1
55,Ironwood High School,GLENDALE,0.0815828431960949,0.08252462612133811,0.041379310344827586,0.625,0.42857142857142855,0.058823529411764705,0.21739130434782608,0.056338028169014086,0.041666666666666664,1,1,1
56,Brightmont Academy,SCOTTSDALE,0.0025207057976233344,0.29166234324600604,0.04326018808777429,0.9772727272727273,0.0,0.0,0.11956521739130435,0.0,0.0,1,1,1
57,Cactus Shadows High School,SCOTTSDALE,0.06829912375465129,0.10379006362916786,0.05579937304075235,1.0,0.02857142857142857,0.0,0.04347826086956522,0.04225352112676056,0.020833333333333332,1,1,1
58,Chaparral High School,SCOTTSDALE,0.08510382907214019,0.05687370928309991,0.028840125391849533,0.9318181818181819,0.08571428571428572,0.058823529411764705,0.05434782608695652,0.08450704225352113,0.020833333333333332,1,1,1
59,Coronado High School,SCOTTSDALE,0.04137158404353219,0.23564405066701488,0.08150470219435738,0.2840909090909091,0.19999999999999998,0.47058823529411764,0.5869565217391304,0.014084507042253521,0.041666666666666664,1,1,1
60,Desert Mountain High School,SCOTTSDALE,0.0895050614171968,0.04160727651969685,0.021316614420062698,0.875,0.08571428571428572,0.058823529411764705,0.05434782608695652,0.15492957746478875,0.020833333333333332,1,1,1
61,Intelli School,CHANDLER,0.002960829032128996,0.8791097112881743,0.26959247648902823,0.18181818181818182,0.11428571428571428,0.23529411764705882,0.6739130434782609,0.014084507042253521,0.10416666666666666,1,0,1
62,Kaizen Education Foundation Dba El Dorado High School,CHANDLER,0.005281478814067938,0.7874697422612426,0.2213166144200627,0.2159090909090909,0.45714285714285713,0.11764705882352941,0.6521739130434782,0.014084507042253521,0.0625,1,1,1
63,Hamilton High School,CHANDLER,0.15680390509342615,0.002510314564640228,0.0,0.5147727272727273,0.19714285714285715,0.12941176470588237,0.22065217391304345,0.2605633802816901,0.020833333333333332,1,0,1
64,Copper Canyon High School,GLENDALE,0.08754451246348977,0.36559490516525067,0.09905956112852665,0.6136363636363636,0.19999999999999998,0.7058823529411764,0.021739130434782608,0.028169014084507043,0.125,1,0,1
65,E-Institute at Taylion,GLENDALE,0.047733365342295844,0.04123492450107726,0.030721003134796244,0.6818181818181819,0.42857142857142855,0.058823529411764705,0.13043478260869565,0.07042253521126761,0.08333333333333333,1,1,1
66,Gary K. Herberger Young Scholars Academy,GLENDALE,0.0019205377505701596,0.2187640924895936,0.03009404388714734,0.7613636363636364,0.14285714285714285,0.0,0.021739130434782608,0.3098591549295775,0.0,1,1,1
67,Glendale High School,GLENDALE,0.09354619293402151,0.05091607698518652,0.01692789968652038,0.6818181818181819,0.42857142857142855,0.058823529411764705,0.18478260869565216,0.028169014084507043,0.041666666666666664,1,1,1
68,Hillcrest Middle School,TEMPE,0.047733365342295844,0.06192114775772098,0.030721003134796244,0.6818181818181819,0.42857142857142855,0.5882352941176471,0.13043478260869565,0.07042253521126761,0.10416666666666666,1,0,1
