Sr.No.,School Name,City,2022 Student Enrollments,National Rank,AZ Rank,Racial%-White,Racial%-Black,Racial%-Native,Racial%-Hispanic,Racial%-Asian,Racial%-Other,AP Classes?,Dual Enrollment?,Offers Sports?,Cluster
23,La Joya Community High School,AVONDALE,0.088784859760733,0.0429725672546353,0.0225705329153605,0.0909090909090909,0.3714285714285714,0.0,0.7717391304347826,0.0140845070422535,0.0833333333333333,1,1,1,2
24,Chandler High School,CHANDLER,0.1271155923658624,0.007516380592748,0.0043887147335423,0.3863636363636363,0.2857142857142857,0.1176470588235294,0.4673913043478261,0.0845070422535211,0.0416666666666666,1,1,1,2
25,Chandler Online Academy,CHANDLER,0.006881926939543,0.7383606482499704,0.2056426332288401,0.8863636363636364,0.0571428571428571,0.0,0.1304347826086956,0.056338028169014,0.0208333333333333,1,1,0,1
26,Gilbert High School,GILBERT,0.0971071900132036,0.0304367159611092,0.0181818181818181,0.75,0.0857142857142857,0.0588235294117647,0.2282608695652173,0.0422535211267605,0.0416666666666666,1,1,1,1
27,Great Hearts Academies - Arete Prep,GILBERT,0.0206457808186292,0.4319149369260504,0.1210031347962382,0.8068181818181819,0.1142857142857142,0.0588235294117647,0.1521739130434782,0.056338028169014,0.0625,1,1,1,1
28,Intelli-School - Metro Center,PHOENIX,0.0041611651262353,0.8291731683466363,0.2489028213166144,0.2840909090909091,0.1714285714285714,0.5294117647058824,0.608695652173913,0.0,0.0208333333333333,1,1,1,0
29,Intelli-School - Paradise Valley,PHOENIX,0.0032008962509502,0.8690148343389321,0.2652037617554859,0.4204545454545454,0.1714285714285714,0.1176470588235294,0.5326086956521738,0.0,0.0625,1,1,1,0
30,International Commerce High School - Phoenix,PHOENIX,0.021365982475093,0.4194204580790376,0.115987460815047,0.1022727272727272,0.2285714285714285,0.0,0.8369565217391304,0.0,0.0625,1,1,1,2
31,Kaizen Education Foundation Dba Maya High School,PHOENIX,0.0148441563637818,0.5395660427536243,0.1473354231974921,0.1477272727272727,0.3999999999999999,0.1764705882352941,0.6847826086956521,0.0422535211267605,0.0208333333333333,1,1,1,0
32,91st psalm Christian School,PHOENIX,0.0064418037050374,0.0,0.0043887147335423,0.3318181818181818,0.52,0.2294117647058823,0.4565217391304348,0.0450704225352112,0.03125,1,1,1,2
33,Buckeye Union High School,BUCKEYE,0.0558156283759452,0.4473054870289933,0.1191222570532915,0.3636363636363636,0.2285714285714285,0.0588235294117647,0.5978260869565217,0.0070422535211267,0.0104166666666666,1,1,1,2
34,West-Mec - Desert Edge High School,GOODYEAR,0.0736206137718561,0.3927766025244805,0.1034482758620689,0.1022727272727272,0.7714285714285714,0.2352941176470588,0.5434782608695652,0.0422535211267605,0.0833333333333333,1,1,1,2
35,Imagine East Mesa Middle School,MESA,0.0046813107670147,0.0215002675142391,0.1391849529780564,0.8636363636363636,0.2285714285714285,0.1176470588235294,0.4021739130434782,0.056338028169014,0.0625,1,0,1,1
36,Gilbert Classical Academy Junior,GLIBERT,0.0087224422838394,0.0018069829739143,0.006269592476489,0.7272727272727273,0.1714285714285714,0.0,0.2934782608695652,0.5352112676056339,0.125,1,0,1,1
