School Name,City,Zip Code,2022 Student Enrollments,AP Classes?,Dual Enrollment?,Offers Electives?,Offers Sports?,Sports Rank,Teaching/Educational Method,Mental Health Services?,Math Score,English Score,National Rank,AZ Rank,Student-Teacher Ratio,Suicide Data,Crime-related Data,Racial%-White,Racial%-Black,Racial%-Native,Racial%-Hispanic,Racial%-Asian,Racial%-Other,Lunch%-Free,Lunch%-Reduced,Lunch%-Paid,
Skyline Prep High School,"Phoenix, AZ",85042,154,Yes,Yes,Yes,Yes,NA,Project based Learning,Yes,NA,NA,NA,89,#VALUE!,NA,NA,15,36,2,44,3,1,79,24,76,
Sonoran Science Academy - Phoenix,"Phoenix, AZ",85008,300,Yes,NA,Yes,Yes,NA,Project Based Learning,Yes,12%,50%,5360,86,#VALUE!,NA,NA,24,50,2,20,3,0,96,0,100,
Sonoran Trails Middle School,"Phoenix, AZ",85085,866,NA,NA,Yes,Yes,NA,Project Based Learning,Yes,58%,54%,NA,188,21.5:1,NA,NA,89,1,0,8,2,0,3.6,3.6,NA,
South Mountain High School,"Phoenix, AZ",85040,"1,722",Yes,Yes,Yes,Yes,NA,Project Based Learning,Yes,7%,49,"13,261-17,680",382,16.5:1,NA,NA,3,15,1,78,0,2,84,15,15,
High-star Center For Children,"Phoenix, AZ",85019,100,No,N/A,Yes,Yes,N/A,"Direct Instruction, DISTAR and HighScope",Yes,N/A,N/A,4157,39,14:01,N/A,N/A,85%,3%,0%,12%,0%,0%,N/A,N/A,N/A,
Holy Cross Lutheran School,"Phoenix, AZ",85023,7,Yes,Yes,Yes,Yes,N/A,Integrated and Holistic,Yes,N/A,N/A,7407,74,6:01,N/A,N/A,14%,0%,0%,71%,14%,1%,N/A,N/A,N/A,
Hope High School,"Phoenix, AZ",85043,198,Yes,Yes,Yes,Yes,N/A,Integrated and Online,Yes,50%,50%,17304,315,#VALUE!,N/A,N/A,5%,20%,1%,73%,0%,1%,67%,7%,26%,
Horizon Community Learning Center,"Phoenix, AZ",85048,689,N/A,Yes,Yes,Yes,99,Individual Learning Plan,Yes,70%,85%,8400,168,#VALUE!,N/A,N/A,67%,3%,1%,18%,6%,5%,0.00%,0%,100.00%,
Humanities And Sciences High School - Phoenix,"Phoenix, AZ",85014,11,Yes,N/A,Yes,Yes,N/A,"Learning, Cooperative learning and technology",Yes,N/A,N/A,24998,558,#VALUE!,N/A,N/A,18%,0%,0%,82%,0%,0%,N/A,N/A,N/A,
Basis Phoenix,"Phoenix, AZ",85028,758,Yes,Yes,Yes,Yes,N/A,N/A,Yes,92%,N/A,7748,155,#VALUE!,N/A,N/A,57%,2%,0%,6%,34%,1%,0%,0%,100%,
Basis Phoenix Central Primary,"Phoenix, AZ",85012,793,Yes,Yes,Yes,Yes,N/A,N/A,Yes,76%,N/A,Unranked,Unranked,#VALUE!,N/A,N/A,42%,9%,1%,15%,30%,3%,0%,0%,100%,
Bostrom Alternative Center,"Phoenix, AZ",85017,256,N/A,N/A,N/A,Yes,N/A,Integrated and Online,Yes,8%,N/A,15802,274,11.1:1,N/A,N/A,4%,13%,4%,77%,0%,2%,90%,4%,6%,
Bourgade Catholic High School,"Phoenix, AZ",85017,390,Yes,Yes,Yes,Yes,N/A,N/A,Yes,N/A,N/A,1566,13,14:01,N/A,N/A,28%,2%,0%,54%,6%,10%,NA,NA,NA,
Brophy College Preparatory,"Phoenix, AZ",85012,1391,Yes,Yes,Yes,Yes,N/A,online,Yes,N/A,31%,87,2,15:01,N/A,N/A,60%,3%,1%,18%,7%,11%,NA,NA,NA,
Poston Junior High School,Messa,85213,1017,Yes,,,,,,,24,33,Unranked,Unranked,18,,,43,5,3,47,1,1,58,35,7,
Red Mountain High School,Messa,85207,3370,Yes,Yes,Yes,Yes,,,Yes,,,129,4,N/A,,,70,3,2,20,2,3,24,7,69,
Redeemer Christian School,Messa,85203,72,Yes,Yes,Yes,Yes,,,Yes,,,4773,42,10:01,,,64,0,0,13,21,2,N/A,N/A,N/A,
Rhodes Junior High School,Messa,85202,953,Yes,Yes,No,Yes,,,No,,,467,11,18,,,26,6,6,58,2,2,68,8,24,
Sequoia Choice School Arizona Distance Learning School,Messa,85204,521,yes,No,No,Yes,,,Yes,,,755,195,N/A,,,70,3,7,15,2,3,30,2,68,
West-Mec - Dysart High School,El Mirage ,85335,1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,25948,630,1:01,N/A,N/A,100%,0%,0%,0%,0%,0%,N/A,N/A,N/A,
Fountain Hills High School,Fountain Hills,85268,557,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,9922,185,18.1:1,N/A,N/A,80%,1%,8%,6%,3%,3%,11%,3%,86%,
Fountain Hills.online,Fountain Hills,85268,N/A,N/A,N/A,N/A,N/A,N/A,Online,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Gila Bend High School,Gila Bend ,85337,121,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,19646,378,17.3:1,N/A,N/A,12%,0%,26%,61%,0%,1%,2%,0%,98%,
Arizona Connections Academy,Gilbert ,85297,1892,N/A,N/A,N/A,N/A,N/A,Online,N/A,N/A,N/A,1915,65,1:01,N/A,N/A,63%,4%,2%,22%,2%,7%,33%,13%,55%,
Salt River High School,Scottsdale,85256,217,N/A,Yes,Yes,Yes,N/A,Cooperative Education Methodology,N/A,N/A,N/A,16760,296,#VALUE!,N/A,N/A,0,0,85,14,0,0,41,1,58,
Scottsdale Online Learning,Scottsdale,85257,94,Yes,Yes,Yes,N/A,N/A,Online Learning Model,Yes,N/A,N/A,20721,416,8.7:1,N/A,N/A,67,3,1,23,3,2,3,3,94,
Sunrise Middle School,Scottsdale,85254,451,Yes,N/A,Yes,Yes,N/A,N/A,Yes,46,42,Unranked,Unknown,19.4:1,N/A,N/A,62,3,0,26,4,4,24,8,69,
The New Foundation-marion Burton School,Scottsdale,85257,40,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,5800,56,7:01,N/A,N/A,53,5,8,35,0,0,N/A,N/A,N/A,
